Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
NGAN KA YUK TRADING AS LI FUNG CURRENCY EXCHANGE COMPANY,顏家育 營業名稱 利豐人民幣找換公司,,,,Specified Premises,指明處所,29/11/2023
NGAU KEE MONEY CHANGER COMPANY LIMITED,牛記找換有限公司,,,,Specified Premises,指明處所,29/11/2023
NGAU KEE MONEY CHANGER COMPANY LIMITED,牛記找換有限公司,,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,SINAR INDO,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NICE STAR CORPORATION LIMITED,星益有限公司,NICE STAR,,,Specified Premises,指明處所,29/11/2023
NIUM LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
NOVA2PAY LIMITED,諾華支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
NTT DATA HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
"OCEANPAYMENT CO., LIMITED TRADING AS OCEANPAYMENT CO., LIMITED",,,,,Correspondence Address,通訊地址,29/11/2023
OFFSHORE (ASIA) LIMITED,歐福通有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ON TAI MONEY EXCHANGE LIMITED,安泰外幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
ONE TECH SOLUTIONS LIMITED,卓越技術方案有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ONE THING EXCHANGE SERVICE LIMITED,萬興兌換服務有限公司,,,,Specified Premises,指明處所,29/11/2023
ONE WALLET TECHNOLOGY LIMITED TRADING AS GEEWALLET,萬匯(香港)科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ONEPIP (HONG KONG) LIMITED,壹萬點(香港)有限公司,,,,Specified Premises,指明處所,29/11/2023
ONETOUCH INTERNATIONAL LIMITED,一達通國際有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ONETRANSACT LIMITED,裕龍數據服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,ORIENT EXCHANGE COMPANY (HK) LIMITED,東方兌換(香港)有限公司,,Specified Premises,指明處所,29/11/2023
ORIENTAL REMITTANCE LIMITED,東方匯款有限公司,,,,Specified Premises,指明處所,29/11/2023
ORIENTAL REMITTANCE LIMITED,東方匯款有限公司,ORIENTAL REMITTANCE,東方匯款,,Specified Premises,指明處所,29/11/2023
ORIENTAL REMITTANCE LIMITED,東方匯款有限公司,ORIENTAL REMITTANCE LIMITED,東方匯款有限公司,,Specified Premises,指明處所,29/11/2023
OSMANTHUS TECHNOLOGY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
OTT PAY HK LIMITED TRADING AS OTT PAY HK,,,,,Correspondence Address,通訊地址,29/11/2023
OVERSEA CHINESE ASIA LIMITED,華僑亞洲有限公司,PANDA MONEY EXCHANGE,熊貓人民幣找換,,Specified Premises,指明處所,29/11/2023
OZFOREX (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
P&L CONSULTANTS (KOWLOON) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
P2H (HONG KONG) PTE LIMITED TRADING AS PAY2HOME,,PAY2HOME,,,Specified Premises,指明處所,29/11/2023
P2H (HONG KONG) PTE LIMITED TRADING AS PAY2HOME,,PAY2HOME,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC ACE FOREX H.K. LIMITED,盈菲國際(外匯)有限公司,PACIFIC ACE,,,Specified Premises,指明處所,29/11/2023
PACIFIC EXCHANGE COMPANY LIMITED,,PACIFIC EXCHANGE COMPANY LIMITED,,,Specified Premises,指明處所,29/11/2023
PACIFIC EXCHANGE COMPANY LIMITED,,,,,Specified Premises,指明處所,29/11/2023
PAGSMILE (HK) PAYMENT LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PAK YIK HONG KONG LIMITED,佰億香港有限公司 營業名稱 金盛找換店,,金盛找換店,,Specified Premises,指明處所,29/11/2023
PAK YIK HONG KONG LIMITED,佰億香港有限公司 營業名稱 金盛找換店,KAM MONG EXCHANGE,金旺找換店,,Specified Premises,指明處所,29/11/2023
PAN-ASIA PAYMENT COMPANY LIMITED,泛亞收付通有限公司,,,,Correspondence Address,通訊地址,29/11/2023
PANCHUAN TECHNOLOGY COMPANY LIMITED TRADING AS PANCHUAN MONEY EXCHANGE,盤川技術有限公司 營業名稱 盤川找換店,PANCHUAN MONEY EXCHANGE,盤川找換店,,Specified Premises,指明處所,29/11/2023
PANPAY HONG KONG LIMITED,泛付香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"PASING HONG CO., LIMITED",百誠行有限公司 營業名稱 百誠找換店,,百誠找換店,,Specified Premises,指明處所,29/11/2023
PAYDEAL LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PAYEASE TECHNOLOGY (HONG KONG) LIMITED,易智付科技 (香港) 有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"PAYGATE HONG KONG CO., LIMITED",,,,,Correspondence Address,通訊地址,29/11/2023
PAYONEER HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PAYSSION INTERNATIONAL LIMITED,派付通國際有限公司,,,,Correspondence Address,通訊地址,29/11/2023
PAYSTORM (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PERFECT PIONEER TRADING LIMITED TRADING AS KONG FUNG EXCHANGE,永盛貿易有限公司 營業名稱 港豐找換,KONG FUNG EXCHANGE,港豐找換,,Specified Premises,指明處所,29/11/2023
PFCE LIMITED,專業金源有限公司,,,,Specified Premises,指明處所,29/11/2023
PFCE LIMITED,專業金源有限公司,SHENG EN FOREIGN EXCHANGE,盛恩外幣兌換,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,,,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,,,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,KAMPUNG KITA,,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,KAMPUNG KITA,,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,KAMPUNG KITA,,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,KAMPUNG KITA,,,Specified Premises,指明處所,29/11/2023
PHANG TJHUNG PHIN TRADING AS KAMPUNG KITA,黃仲平,KAMPUNG KITA,,,Specified Premises,指明處所,29/11/2023
PHOTON DANCE (HONG KONG) LIMITED,光子躍動(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
PI INSIGHTS LIMITED,漸悟分析有限公司,STARS EXCHANGE,昇昇換匯中心,,Specified Premises,指明處所,29/11/2023
PING PONG GLOBAL HOLDINGS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PINGPONG GLOBAL TECHNOLOGY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PINOY EXPRESS SERVICES LIMITED,,,,,Specified Premises,指明處所,29/11/2023
PINOY EXPRESS SERVICES LIMITED,,PINOY EXPRESS SERVICES LIMITED,,,Specified Premises,指明處所,29/11/2023
PIPO (HK) LIMITED TRADING AS PIPO,暢匯(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
PMMAX TECHNOLOGY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,,,Specified Premises,指明處所,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,PNB GLOBAL REMITTANCE AND FINANCIAL COMPANY (HK) LIMITED,,,Specified Premises,指明處所,29/11/2023
PO WU TRADING LIMITED TRADING AS PO WU FOREIGN EXCHANGE,寶湖貿易發展有限公司 營業名稱 寶湖外幣找換店,,,,Specified Premises,指明處所,29/11/2023
PO YU INTERNATIONAL MONEY EXCHANGE LIMITED,寶譽國際貨幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
PO YUEN CENTURY LIMITED,寶源世紀有限公司,,寶源外幣找換店,,Specified Premises,指明處所,29/11/2023
PO YUEN ENTERPRISE DEVELOPMENT LIMITED,寶源企業發展有限公司,,寶源外幣找換店,,Specified Premises,指明處所,29/11/2023
POINT LINK TECHNOLOGY GLOBAL LIMITED,鏈點科技全球有限公司,,,,Specified Premises,指明處所,29/11/2023
POLAR PAY LIMITED,極支好有限公司,,,,Correspondence Address,通訊地址,29/11/2023
POLY GOAL TRADING LIMITED TRADING AS HONG SHENG EXCHANGE,寶昇貿易有限公司 營業名稱 宏生找換,HONG SHENG EXCHANGE,宏生找換,,Specified Premises,指明處所,29/11/2023
POLY SUCCESS DEVELOPMENT LIMITED TRADING AS POLY SUCCESS MONEY EXCHANGE,保成發展有限公司 營業名稱 保成找換,POLY SUCCESS MONEY EXCHANGE,保成找換,,Specified Premises,指明處所,29/11/2023
POLY SUCCESS DEVELOPMENT LIMITED TRADING AS POLY SUCCESS MONEY EXCHANGE,保成發展有限公司 營業名稱 保成找換,POLY SUCCESS MONEY EXCHANGE,保成找換,,Specified Premises,指明處所,29/11/2023
POON YU KUEN TRADING AS HENG HING HONG MONEY EXCHANGE,潘裕權 營業名稱 恆興行人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
PPTRANSFER LIMITED,澎湃支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
PREPAID GLOBAL HK LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PRIME NOVEL LIMITED TRADING AS LT CURRENCY EXCHANGE,両替商外匯兌換,LT CURRENCY EXCHANGE,両替商外匯兌換,,Specified Premises,指明處所,29/11/2023
PUN CHUN FA TRADING AS TYCO TRADING COMPANY,潘春花 營業名稱 泰科貿易公司,,,,Correspondence Address,通訊地址,29/11/2023
PYVIO GROUP LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
PYWAVE NETWORK TECHNOLOGY LIMITED,叁點壹肆網絡科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
QUEEN BEE CAPITAL (HK) LIMITED,蜂皇資本香港有限公司,,,,Specified Premises,指明處所,29/11/2023
RAINBOW PAY LIMITED,彩虹匯有限公司,,,,Correspondence Address,通訊地址,29/11/2023
RCBC INTERNATIONAL FINANCE LTD,,,,,Specified Premises,指明處所,29/11/2023
RCBC INTERNATIONAL FINANCE LTD,,RCBC TELEMONEY REMITTANCE CENTER,,,Specified Premises,指明處所,29/11/2023
RCPAY LIMITED TRADING AS RCPAY LIMITED,,RCPAY LIMITED,,,Specified Premises,指明處所,29/11/2023
REAL SHINE FINTECH LIMITED,瑞盛金融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
REAP (REMIT) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
RED ROCK PAY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
REDFIN LIMITED,,,,,Specified Premises,指明處所,29/11/2023
RICHLY EVER INTERNATIONAL TRADING LIMITED TRADING AS XIN BAO EXCHANGE REMIT,富裕國際貿易有限公司 營業名稱 信保找換匯款,XIN BAO EXCHANGE REMIT,信保找換匯款,,Specified Premises,指明處所,29/11/2023
"ROBLES, AMELIA T. TRADING AS KMC PUSONG PINOY",,,,,Specified Premises,指明處所,29/11/2023
ROCK GROUP COMPANY (HK) LIMITED,樂高找換(香港)有限公司,,,,Specified Premises,指明處所,29/11/2023
ROYAL FOREX LIMITED TRADING AS ROYAL FOREX LIMITED,,ROYAL FOREX LIMITED,,,Specified Premises,指明處所,29/11/2023
EBURY PARTNERS HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ECOM CENTER LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
ELINK COMMERCE COMPANY LIMITED,壹滙智商務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ELITE BRIGHT LIMITED,東光有限公司,,,,Specified Premises,指明處所,29/11/2023
EMGLINK TECHNOLOGY PTY LIMITED,新興互聯網科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EMQ LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
EPAY LIMITED,易派有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EPAYLINKS TRADING LIMITED,全球付貿易有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EVER TOPRICH LIMITED,永裕達有限公司,EVER TOPRICH LIMITED,永裕達有限公司,,Specified Premises,指明處所,29/11/2023
EVERPRO HOLDINGS LIMITED,永尚集團有限公司,,,,Correspondence Address,通訊地址,29/11/2023
EVERWEALTH EXCHANGE COMPANY LIMITED,恒昌兌換有限公司,,,,Specified Premises,指明處所,29/11/2023
EVERWEALTH EXCHANGE COMPANY LIMITED,恒昌兌換有限公司,EVERWEALTH EXCHANGE COMPANY LIMITED,恒昌兌換有限公司,,Specified Premises,指明處所,29/11/2023
EVERWIN REMITTANCE AND EXCHANGE CO LIMITED,恆信匯兌有限公司,,,,Specified Premises,指明處所,29/11/2023
EVERY SUCCESS INTERNATIONAL COMPANY LIMITED TRADING AS FS GLOBAL CURRENCY EXCHANGE AND REMITTANCE,百成找換有限公司 營業名稱 福誠找換匯款,FS GLOBAL CURRENCY EXCHANGE AND REMITTANCE,福誠找換匯款,,Specified Premises,指明處所,29/11/2023
EVONET GLOBAL CORPORATION LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
EXPRESS EXCHANGE (HK) LIMITED TRADING AS EXPRESSEX,捷匯找換(香港)有限公司 營業名稱 捷匯外幣兌換,EXPRESSEX,捷匯外幣兌換,,Specified Premises,指明處所,29/11/2023
EXPRESS EXCHANGE COMPANY LIMITED TRADING AS EXPRESS EXCHANGE,捷匯找換有限公司 營業名稱 捷匯找換,EXPRESS EXCHANGE,捷匯找換,,Specified Premises,指明處所,29/11/2023
EXPRO LIMITED,極博有限公司,,,,Specified Premises,指明處所,29/11/2023
FAR EAST MONEY EXCHANGE LIMITED,遠東找換有限公司,,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA EXPRESS MANTAP,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA EXPRESS MANTAP,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,日暉辦館,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,FAST ACCESS CORPORATION LIMITED,快通有限公司,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,日暉東南亞市場,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SMART STORE TOKO INDONESIA,印尼商店,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,YABES MART INDO ASIA,雅比斯東南亞食品,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,TOKO USAHA MAJU,力進,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,TOKO ANUGERAH,,,Specified Premises,指明處所,29/11/2023
FAST ACCESS CORPORATION LIMITED TRADING AS SURYA EXPRESS MANTAP,快通有限公司,SURYA MARKET,,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,CASSON HONG MONEY EXCHANGE COMPANY,加誠行找換公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,三興行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,CASSON HONG EXCHANGE AND REMITTANCE COMPANY,加誠行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,CASSON HONG EXCHANGE AND REMITTANCE COMPANY,加誠行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,HANG FUNG GROUP FOREIGN  CURRENCY EXCHANGE COMPANY,恆豐集團外幣找換公司,,Specified Premises,指明處所,29/11/2023
"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司,CASSON HONG FOREIGN EXCHANGE COMPANY,加誠行外幣找換公司,,Specified Premises,指明處所,29/11/2023
FOREVER CURRENCY EXCHANGE LIMITED,永信外幣找換有限公司,,,,Correspondence Address,通訊地址,29/11/2023
FOREVER MORE COMPANY,永新公司,CHINA & HK RENMINBI EXCHANGE,滙通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
FOREVER MORE COMPANY,永新公司,CHINA & HK RENMINBI EXCHANGE,滙通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
FOREVER MORE COMPANY,永新公司,CHINA & HK RENMINBI EXCHANGE,滙通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
FORTUNE HK MONEY EXCHANGE LIMITED,幸匯找換有限公司,,,,Specified Premises,指明處所,29/11/2023
FORTUNE HK MONEY EXCHANGE LIMITED,幸匯找換有限公司,MASSES MONEY EXCHANGE,群眾找換,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FRANKI FOREX CO LIMITED,,FRANKI FOREX CO LIMITED,,,Specified Premises,指明處所,29/11/2023
FTS HONG KONG LIMITED TRADING AS -,- 營業名稱 -,,,,Correspondence Address,通訊地址,29/11/2023
FU CHUEN SAU TRADING AS GOOD LUCK REMINBI EXCHANGE,符傳壽 營業名稱 好運人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
FU ON GROUP HOLDINGS CO LIMITED TRADING AS KWOK HING RMB EXCHANGE CO.,富安集團控股有限公司 營業名稱 國興人民幣找換行,KWOK HING RMB EXCHANGE CO.,國興人民幣找換行,,Specified Premises,指明處所,29/11/2023
FU ON GROUP HOLDINGS CO LIMITED TRADING AS KWOK HING RMB EXCHANGE CO.,富安集團控股有限公司 營業名稱 國興人民幣找換行,FU ON EXCHANGE AND REMITTANCE CO,富安找換匯款公司,,Specified Premises,指明處所,29/11/2023
FU ON GROUP HOLDINGS CO LIMITED TRADING AS KWOK HING RMB EXCHANGE CO.,富安集團控股有限公司 營業名稱 國興人民幣找換行,FU ON EXCHANGE,富安找換匯款,,Specified Premises,指明處所,29/11/2023
FU WENHUA TRADING AS TAT TUNG MONEY EXCHANGE CO.,付文化 營業名稱 達通找換店,,,,Specified Premises,指明處所,29/11/2023
FUNG KA MAN TRADING AS RITA SHOP,馮家文,TOKO INDONESIA RITA,,,Specified Premises,指明處所,29/11/2023
FINANCIAL QUOTIENT SERVICES LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,,,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兌換店,FIRST兌換店,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兌換店,FIRST兌換店,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兌換店,FIRST兌換店,,Specified Premises,指明處所,29/11/2023
FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司,FIRST兌換店,FIRST兌換店,,Specified Premises,指明處所,29/11/2023
